A00,Cholera
A798,Other specified rickettsioses
A799,"Rickettsiosis, unspecified"
A80,Acute poliomyelitis
A803,"Acute paralytic poliomyelitis, other and unspecified"
A804,Acute nonparalytic poliomyelitis
A809,"Acute poliomyelitis, unspecified"
A81,Atypical virus infections of central nervous system
A810,Creutzfeldt-Jakob disease
A811,Subacute sclerosing panencephalitis
A812,Progressive multifocal leukoencephalopathy
A818,Other atypical virus infections of central nervous system
A819,"Atypical virus infection of central nervous system, unspecified"
A82,Rabies
A83,Mosquito-borne viral encephalitis
A84,Tick-borne viral encephalitis
A85,"Other viral encephalitis, not elsewhere classified"
A86,Unspecified viral encephalitis
A87,Viral meningitis
A88,"Other viral infections of central nervous system, not elsewhere classified"
A89,Unspecified viral infection of central nervous system
A90,Dengue fever [classical dengue]
A91,Dengue hemorrhagic fever
A92,Other mosquito-borne viral fevers
A923,West Nile virus infection
A924,Rift Valley fever
A925,Zika virus disease
A928,Other specified mosquito-borne viral fevers
A929,"Mosquito-borne viral fever, unspecified"
A93,"Other arthropod-borne viral fevers, not elsewhere classified"
A94,Unspecified arthropod-borne viral fever
A95,Yellow fever
A96,Arenaviral hemorrhagic fever
A98,"Other viral hemorrhagic fevers, not elsewhere classified"
A99,Unspecified viral hemorrhagic fever
B00,Herpesviral [herpes simplex] infections
B005,Herpesviral ocular disease
B007,Disseminated herpesviral disease
B008,Other forms of herpesviral infections
B009,"Herpesviral infection, unspecified"
B01,Varicella [chickenpox]
B011,"Varicella encephalitis, myelitis and encephalomyelitis"
B012,Varicella pneumonia
B018,Varicella with other complications
B019,Varicella without complication
B02,Zoster [herpes zoster]
B022,Zoster with other nervous system involvement
B023,Zoster ocular disease
B027,Disseminated zoster
B028,Zoster with other complications
B029,Zoster without complications
B03,Smallpox
B04,Monkeypox
B05,Measles
B058,Measles with other complications
B059,Measles without complication
B06,Rubella [German measles]
B060,Rubella with neurological complications
B068,Rubella with other complications
B069,Rubella without complication
B07,Viral warts
B08,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified"
B080,Other orthopoxvirus infections
B0801,Cowpox and vaccinia not from vaccine
B0802,Orf virus disease
B0803,Pseudocowpox [milker's node]
B0804,"Paravaccinia, unspecified"
B0809,Other orthopoxvirus infections
B081,Molluscum contagiosum
B082,Exanthema subitum [sixth disease]
B083,Erythema infectiosum [fifth disease]
B084,Enteroviral vesicular stomatitis with exanthem
B085,Enteroviral vesicular pharyngitis
B086,Parapoxvirus infections
B087,Yatapoxvirus infections
B088,Other specified viral infections characterized by skin and mucous membrane lesions
B09,Unspecified viral infection characterized by skin and mucous membrane lesions
B10,Other human herpesviruses
B100,Other human herpesvirus encephalitis
B108,Other human herpesvirus infection
B15,Acute hepatitis A
B16,Acute hepatitis B
B17,Other acute viral hepatitis
B171,Acute hepatitis C
B172,Acute hepatitis E
B178,Other specified acute viral hepatitis
B179,"Acute viral hepatitis, unspecified"
B18,Chronic viral hepatitis
B19,Unspecified viral hepatitis
B191,Unspecified viral hepatitis B
B192,Unspecified viral hepatitis C
B199,Unspecified viral hepatitis without hepatic coma
B20,Human immunodeficiency virus [HIV] disease
B25,Cytomegaloviral disease
B26,Mumps
B268,Mumps with other complications
B269,Mumps without complication
B27,Infectious mononucleosis
B270,Gammaherpesviral mononucleosis
B271,Cytomegaloviral mononucleosis
B278,Other infectious mononucleosis
B279,"Infectious mononucleosis, unspecified"
B30,Viral conjunctivitis
B33,"Other viral diseases, not elsewhere classified"
B332,Viral carditis
B333,"Retrovirus infections, not elsewhere classified"
B334,Hantavirus (cardio)-pulmonary syndrome [HPS] [HCPS]
B338,Other specified viral diseases
B34,Viral infection of unspecified site
B35,Dermatophytosis
B36,Other superficial mycoses
B37,Candidiasis
B374,Candidiasis of other urogenital sites
B375,Candidal meningitis
B376,Candidal endocarditis
B377,Candidal sepsis
B378,Candidiasis of other sites
B379,"Candidiasis, unspecified"
B38,Coccidioidomycosis
B388,Other forms of coccidioidomycosis
B389,"Coccidioidomycosis, unspecified"
B39,Histoplasmosis
B40,Blastomycosis
B408,Other forms of blastomycosis
B409,"Blastomycosis, unspecified"
B41,Paracoccidioidomycosis
B42,Sporotrichosis
B428,Other forms of sporotrichosis
B429,"Sporotrichosis, unspecified"
B43,Chromomycosis and pheomycotic abscess
B44,Aspergillosis
B448,Other forms of aspergillosis
B449,"Aspergillosis, unspecified"
B45,Cryptococcosis
B46,Zygomycosis
B47,Mycetoma
B48,"Other mycoses, not elsewhere classified"
B49,Unspecified mycosis
B50,Plasmodium falciparum malaria
B51,Plasmodium vivax malaria
B52,Plasmodium malariae malaria
B53,Other specified malaria
B54,Unspecified malaria
B55,Leishmaniasis
B56,African trypanosomiasis
B57,Chagas' disease
B573,Chagas' disease (chronic) with digestive system involvement
B574,Chagas' disease (chronic) with nervous system involvement
B575,Chagas' disease (chronic) with other organ involvement
B58,Toxoplasmosis
B580,Toxoplasma oculopathy
B581,Toxoplasma hepatitis
B582,Toxoplasma meningoencephalitis
B583,Pulmonary toxoplasmosis
B588,Toxoplasmosis with other organ involvement
B589,"Toxoplasmosis, unspecified"
B59,Pneumocystosis
B60,"Other protozoal diseases, not elsewhere classified"
B601,Acanthamebiasis
B602,Naegleriasis
B608,Other specified protozoal diseases
B64,Unspecified protozoal disease
B65,Schistosomiasis [bilharziasis]
B66,Other fluke infections
B67,Echinococcosis
B673,"Echinococcus granulosus infection, other and multiple sites"
B674,"Echinococcus granulosus infection, unspecified"
B675,Echinococcus multilocularis infection of liver
B676,"Echinococcus multilocularis infection, other and multiple sites"
B677,"Echinococcus multilocularis infection, unspecified"
B678,"Echinococcosis, unspecified, of liver"
B679,"Echinococcosis, other and unspecified"
B68,Taeniasis
B69,Cysticercosis
B698,Cysticercosis of other sites
B699,"Cysticercosis, unspecified"
B70,Diphyllobothriasis and sparganosis
B71,Other cestode infections
B72,Dracunculiasis
B73,Onchocerciasis
B730,Onchocerciasis with eye disease
B731,Onchocerciasis without eye disease
B74,Filariasis
B75,Trichinellosis
B76,Hookworm diseases
B77,Ascariasis
B778,Ascariasis with other complications
B779,"Ascariasis, unspecified"
B78,Strongyloidiasis
B79,Trichuriasis
B80,Enterobiasis
B81,"Other intestinal helminthiases, not elsewhere classified"
B82,Unspecified intestinal parasitism
B83,Other helminthiases
B85,Pediculosis and phthiriasis
B86,Scabies
B87,Myiasis
B878,Myiasis of other sites
B879,"Myiasis, unspecified"
B88,Other infestations
B89,Unspecified parasitic disease
B90,Sequelae of tuberculosis
B91,Sequelae of poliomyelitis
B92,Sequelae of leprosy
B94,Sequelae of other and unspecified infectious and parasitic diseases
B95,"Streptococcus, Staphylococcus, and Enterococcus as the cause of diseases classified elsewhere"
B956,Staphylococcus aureus as the cause of diseases classified elsewhere
B957,Other staphylococcus as the cause of diseases classified elsewhere
B958,Unspecified staphylococcus as the cause of diseases classified elsewhere
B96,Other bacterial agents as the cause of diseases classified elsewhere
B962,Escherichia coli [E. coli ] as the cause of diseases classified elsewhere
B963,Hemophilus influenzae [H. influenzae] as the cause of diseases classified elsewhere
B964,Proteus (mirabilis) (morganii) as the cause of diseases classified elsewhere
B965,Pseudomonas (aeruginosa) (mallei) (pseudomallei) as the cause of diseases classified elsewhere
B966,Bacteroides fragilis [B. fragilis] as the cause of diseases classified elsewhere
B967,Clostridium perfringens [C. perfringens] as the cause of diseases classified elsewhere
B968,Other specified bacterial agents as the cause of diseases classified elsewhere
B97,Viral agents as the cause of diseases classified elsewhere
B971,Enterovirus as the cause of diseases classified elsewhere
B972,Coronavirus as the cause of diseases classified elsewhere
B973,Retrovirus as the cause of diseases classified elsewhere
B974,Respiratory syncytial virus as the cause of diseases classified elsewhere
B975,Reovirus as the cause of diseases classified elsewhere
B976,Parvovirus as the cause of diseases classified elsewhere
B977,Papillomavirus as the cause of diseases classified elsewhere
B978,Other viral agents as the cause of diseases classified elsewhere
B99,Other and unspecified infectious diseases
C00,Malignant neoplasm of lip
C01,Malignant neoplasm of base of tongue
C02,Malignant neoplasm of other and unspecified parts of tongue
C03,Malignant neoplasm of gum
C04,Malignant neoplasm of floor of mouth
C05,Malignant neoplasm of palate
C06,Malignant neoplasm of other and unspecified parts of mouth
C068,Malignant neoplasm of overlapping sites of other and unspecified parts of mouth
C069,"Malignant neoplasm of mouth, unspecified"
C07,Malignant neoplasm of parotid gland
C08,Malignant neoplasm of other and unspecified major salivary glands
C09,Malignant neoplasm of tonsil
C10,Malignant neoplasm of oropharynx
C11,Malignant neoplasm of nasopharynx
C12,Malignant neoplasm of pyriform sinus
C13,Malignant neoplasm of hypopharynx
C14,"Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx"
C15,Malignant neoplasm of esophagus
C16,Malignant neoplasm of stomach
C17,Malignant neoplasm of small intestine
C18,Malignant neoplasm of colon
C19,Malignant neoplasm of rectosigmoid junction
C20,Malignant neoplasm of rectum
C21,Malignant neoplasm of anus and anal canal
C22,Malignant neoplasm of liver and intrahepatic bile ducts
C23,Malignant neoplasm of gallbladder
C24,Malignant neoplasm of other and unspecified parts of biliary tract
C25,Malignant neoplasm of pancreas
C26,Malignant neoplasm of other and ill-defined digestive organs
C30,Malignant neoplasm of nasal cavity and middle ear
C31,Malignant neoplasm of accessory sinuses
C32,Malignant neoplasm of larynx
C33,Malignant neoplasm of trachea
C34,Malignant neoplasm of bronchus and lung
C340,Malignant neoplasm of main bronchus
C341,"Malignant neoplasm of upper lobe, bronchus or lung"
C342,"Malignant neoplasm of middle lobe, bronchus or lung"
C343,"Malignant neoplasm of lower lobe, bronchus or lung"
C348,Malignant neoplasm of overlapping sites of bronchus and lung
C349,Malignant neoplasm of unspecified part of bronchus or lung
C37,Malignant neoplasm of thymus
C38,"Malignant neoplasm of heart, mediastinum and pleura"
C39,Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs
C40,Malignant neoplasm of bone and articular cartilage of limbs
C400,Malignant neoplasm of scapula and long bones of upper limb
C401,Malignant neoplasm of short bones of upper limb
C402,Malignant neoplasm of long bones of lower limb
C403,Malignant neoplasm of short bones of lower limb
C408,Malignant neoplasm of overlapping sites of bone and articular cartilage of limb
C409,Malignant neoplasm of unspecified bones and articular cartilage of limb
C41,Malignant neoplasm of bone and articular cartilage of other and unspecified sites
C43,Malignant melanoma of skin
C431,"Malignant melanoma of eyelid, including canthus"
C432,Malignant melanoma of ear and external auricular canal
C433,Malignant melanoma of other and unspecified parts of face
C434,Malignant melanoma of scalp and neck
C435,Malignant melanoma of trunk
C436,"Malignant melanoma of upper limb, including shoulder"
C437,"Malignant melanoma of lower limb, including hip"
C438,Malignant melanoma of overlapping sites of skin
C439,"Malignant melanoma of skin, unspecified"
C4A,Merkel cell carcinoma
C4A1,"Merkel cell carcinoma of eyelid, including canthus"
C4A2,Merkel cell carcinoma of ear and external auricular canal
C4A3,Merkel cell carcinoma of other and unspecified parts of face
C4A4,Merkel cell carcinoma of scalp and neck
C4A5,Merkel cell carcinoma of trunk
C4A6,"Merkel cell carcinoma of upper limb, including shoulder"
C4A7,"Merkel cell carcinoma of lower limb, including hip"
C4A8,Merkel cell carcinoma of overlapping sites
C4A9,"Merkel cell carcinoma, unspecified"
C44,Other and unspecified malignant neoplasm of skin
C440,Other and unspecified malignant neoplasm of skin of lip
C441,"Other and unspecified malignant neoplasm of skin of eyelid, including canthus"
C4410,"Unspecified malignant neoplasm of skin of eyelid, including canthus"
C4411,"Basal cell carcinoma of skin of eyelid, including canthus"
C4412,"Squamous cell carcinoma of skin of eyelid, including canthus"
C4419,"Other specified malignant neoplasm of skin of eyelid, including canthus"
C442,Other and unspecified malignant neoplasm of skin of ear and external auricular canal
C4420,Unspecified malignant neoplasm of skin of ear and external auricular canal
C4421,Basal cell carcinoma of skin of ear and external auricular canal
C4422,Squamous cell carcinoma of skin of ear and external auricular canal
C4429,Other specified malignant neoplasm of skin of ear and external auricular canal
C443,Other and unspecified malignant neoplasm of skin of other and unspecified parts of face
C4430,Unspecified malignant neoplasm of skin of other and unspecified parts of face
C4431,Basal cell carcinoma of skin of other and unspecified parts of face
C4432,Squamous cell carcinoma of skin of other and unspecified parts of face
C4439,Other specified malignant neoplasm of skin of other and unspecified parts of face
C444,Other and unspecified malignant neoplasm of skin of scalp and neck
C445,Other and unspecified malignant neoplasm of skin of trunk
C4450,Unspecified malignant neoplasm of skin of trunk
C4451,Basal cell carcinoma of skin of trunk
C4452,Squamous cell carcinoma of skin of trunk
C4459,Other specified malignant neoplasm of skin of trunk
C446,"Other and unspecified malignant neoplasm of skin of upper limb, including shoulder"
C4460,"Unspecified malignant neoplasm of skin of upper limb, including shoulder"
C4461,"Basal cell carcinoma of skin of upper limb, including shoulder"
C4462,"Squamous cell carcinoma of skin of upper limb, including shoulder"
C4469,"Other specified malignant neoplasm of skin of upper limb, including shoulder"
C447,"Other and unspecified malignant neoplasm of skin of lower limb, including hip"
C4470,"Unspecified malignant neoplasm of skin of lower limb, including hip"
C4471,"Basal cell carcinoma of skin of lower limb, including hip"
C4472,"Squamous cell carcinoma of skin of lower limb, including hip"
C4479,"Other specified malignant neoplasm of skin of lower limb, including hip"
C448,Other and unspecified malignant neoplasm of overlapping sites of skin
C449,"Other and unspecified malignant neoplasm of skin, unspecified"
C45,Mesothelioma
C46,Kaposi's sarcoma
C465,Kaposi's sarcoma of lung
C467,Kaposi's sarcoma of other sites
C469,"Kaposi's sarcoma, unspecified"
C47,Malignant neoplasm of peripheral nerves and autonomic nervous system
C471,"Malignant neoplasm of peripheral nerves of upper limb, including shoulder"
C472,"Malignant neoplasm of peripheral nerves of lower limb, including hip"
C473,Malignant neoplasm of peripheral nerves of thorax
C474,Malignant neoplasm of peripheral nerves of abdomen
C475,Malignant neoplasm of peripheral nerves of pelvis
C476,"Malignant neoplasm of peripheral nerves of trunk, unspecified"
C478,Malignant neoplasm of overlapping sites of peripheral nerves and autonomic nervous system
C479,"Malignant neoplasm of peripheral nerves and autonomic nervous system, unspecified"
C48,Malignant neoplasm of retroperitoneum and peritoneum
C49,Malignant neoplasm of other connective and soft tissue
C491,"Malignant neoplasm of connective and soft tissue of upper limb, including shoulder"
C492,"Malignant neoplasm of connective and soft tissue of lower limb, including hip"
C493,Malignant neoplasm of connective and soft tissue of thorax
C494,Malignant neoplasm of connective and soft tissue of abdomen
C495,Malignant neoplasm of connective and soft tissue of pelvis
C496,"Malignant neoplasm of connective and soft tissue of trunk, unspecified"
C498,Malignant neoplasm of overlapping sites of connective and soft tissue
C499,"Malignant neoplasm of connective and soft tissue, unspecified"
C49A,Gastrointestinal stromal tumor
C50,Malignant neoplasm of breast
C500,Malignant neoplasm of nipple and areola
C5001,"Malignant neoplasm of nipple and areola, female"
C5002,"Malignant neoplasm of nipple and areola, male"
C501,Malignant neoplasm of central portion of breast
C5011,"Malignant neoplasm of central portion of breast, female"
C5012,"Malignant neoplasm of central portion of breast, male"
C502,Malignant neoplasm of upper-inner quadrant of breast
C5021,"Malignant neoplasm of upper-inner quadrant of breast, female"
C5022,"Malignant neoplasm of upper-inner quadrant of breast, male"
C503,Malignant neoplasm of lower-inner quadrant of breast
C5031,"Malignant neoplasm of lower-inner quadrant of breast, female"
C5032,"Malignant neoplasm of lower-inner quadrant of breast, male"
C504,Malignant neoplasm of upper-outer quadrant of breast
C5041,"Malignant neoplasm of upper-outer quadrant of breast, female"
C5042,"Malignant neoplasm of upper-outer quadrant of breast, male"
C505,Malignant neoplasm of lower-outer quadrant of breast
C5051,"Malignant neoplasm of lower-outer quadrant of breast, female"
C5052,"Malignant neoplasm of lower-outer quadrant of breast, male"
C506,Malignant neoplasm of axillary tail of breast
C5061,"Malignant neoplasm of axillary tail of breast, female"
C5062,"Malignant neoplasm of axillary tail of breast, male"
C508,Malignant neoplasm of overlapping sites of breast
C5081,"Malignant neoplasm of overlapping sites of breast, female"
C5082,"Malignant neoplasm of overlapping sites of breast, male"
C509,Malignant neoplasm of breast of unspecified site
C5091,"Malignant neoplasm of breast of unspecified site, female"
C5092,"Malignant neoplasm of breast of unspecified site, male"
C51,Malignant neoplasm of vulva
C52,Malignant neoplasm of vagina
C53,Malignant neoplasm of cervix uteri
C54,Malignant neoplasm of corpus uteri
C55,"Malignant neoplasm of uterus, part unspecified"
C56,Malignant neoplasm of ovary
C57,Malignant neoplasm of other and unspecified female genital organs
C570,Malignant neoplasm of fallopian tube
C571,Malignant neoplasm of broad ligament
C572,Malignant neoplasm of round ligament
C573,Malignant neoplasm of parametrium
C574,"Malignant neoplasm of uterine adnexa, unspecified"
C577,Malignant neoplasm of other specified female genital organs
C578,Malignant neoplasm of overlapping sites of female genital organs
C579,"Malignant neoplasm of female genital organ, unspecified"
C58,Malignant neoplasm of placenta
C60,Malignant neoplasm of penis
C61,Malignant neoplasm of prostate
C62,Malignant neoplasm of testis
C620,Malignant neoplasm of undescended testis
C621,Malignant neoplasm of descended testis
C629,"Malignant neoplasm of testis, unspecified whether descended or undescended"
C63,Malignant neoplasm of other and unspecified male genital organs
C630,Malignant neoplasm of epididymis
C631,Malignant neoplasm of spermatic cord
C632,Malignant neoplasm of scrotum
C637,Malignant neoplasm of other specified male genital organs
C638,Malignant neoplasm of overlapping sites of male genital organs
C639,"Malignant neoplasm of male genital organ, unspecified"
C64,"Malignant neoplasm of kidney, except renal pelvis"
C65,Malignant neoplasm of renal pelvis
C66,Malignant neoplasm of ureter
C67,Malignant neoplasm of bladder
C68,Malignant neoplasm of other and unspecified urinary organs
C69,Malignant neoplasm of eye and adnexa
C690,Malignant neoplasm of conjunctiva
C691,Malignant neoplasm of cornea
C692,Malignant neoplasm of retina
C693,Malignant neoplasm of choroid
C694,Malignant neoplasm of ciliary body
C695,Malignant neoplasm of lacrimal gland and duct
C696,Malignant neoplasm of orbit
C698,Malignant neoplasm of overlapping sites of eye and adnexa
C699,Malignant neoplasm of unspecified site of eye
C70,Malignant neoplasm of meninges
C71,Malignant neoplasm of brain
C72,"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system"
C722,Malignant neoplasm of olfactory nerve
C723,Malignant neoplasm of optic nerve
C724,Malignant neoplasm of acoustic nerve
C725,Malignant neoplasm of other and unspecified cranial nerves
C729,"Malignant neoplasm of central nervous system, unspecified"
C73,Malignant neoplasm of thyroid gland
C74,Malignant neoplasm of adrenal gland
C740,Malignant neoplasm of cortex of adrenal gland
C741,Malignant neoplasm of medulla of adrenal gland
C749,Malignant neoplasm of unspecified part of adrenal gland
C75,Malignant neoplasm of other endocrine glands and related structures
C7A,Malignant neuroendocrine tumors
C7A0,Malignant carcinoid tumors
C7A01,Malignant carcinoid tumors of the small intestine
C7A02,"Malignant carcinoid tumors of the appendix, large intestine, and rectum"
C7A09,Malignant carcinoid tumors of other sites
C7A1,Malignant poorly differentiated neuroendocrine tumors
C7A8,Other malignant neuroendocrine tumors
C7B,Secondary neuroendocrine tumors
C7B0,Secondary carcinoid tumors
C7B1,Secondary Merkel cell carcinoma
C7B8,Other secondary neuroendocrine tumors
C76,Malignant neoplasm of other and ill-defined sites
C764,Malignant neoplasm of upper limb
C765,Malignant neoplasm of lower limb
C768,Malignant neoplasm of other specified ill-defined sites
C77,Secondary and unspecified malignant neoplasm of lymph nodes
C78,Secondary malignant neoplasm of respiratory and digestive organs
C780,Secondary malignant neoplasm of lung
C781,Secondary malignant neoplasm of mediastinum
C782,Secondary malignant neoplasm of pleura
C783,Secondary malignant neoplasm of other and unspecified respiratory organs
C784,Secondary malignant neoplasm of small intestine
C785,Secondary malignant neoplasm of large intestine and rectum
C786,Secondary malignant neoplasm of retroperitoneum and peritoneum
C787,Secondary malignant neoplasm of liver and intrahepatic bile duct
C788,Secondary malignant neoplasm of other and unspecified digestive organs
C79,Secondary malignant neoplasm of other and unspecified sites
C790,Secondary malignant neoplasm of kidney and renal pelvis
C791,Secondary malignant neoplasm of bladder and other and unspecified urinary organs
C792,Secondary malignant neoplasm of skin
C793,Secondary malignant neoplasm of brain and cerebral meninges
C794,Secondary malignant neoplasm of other and unspecified parts of nervous system
C795,Secondary malignant neoplasm of bone and bone marrow
C796,Secondary malignant neoplasm of ovary
C797,Secondary malignant neoplasm of adrenal gland
C798,Secondary malignant neoplasm of other specified sites
C799,Secondary malignant neoplasm of unspecified site
C80,Malignant neoplasm without specification of site
C81,Hodgkin lymphoma
C810,Nodular lymphocyte predominant Hodgkin lymphoma
C811,Nodular sclerosis Hodgkin lymphoma
C812,Mixed cellularity Hodgkin lymphoma
C813,Lymphocyte depleted Hodgkin lymphoma
C814,Lymphocyte-rich Hodgkin lymphoma
C817,Other Hodgkin lymphoma
C819,"Hodgkin lymphoma, unspecified"
C82,Follicular lymphoma
C820,Follicular lymphoma grade I
C821,Follicular lymphoma grade II
C822,"Follicular lymphoma grade III, unspecified"
C823,Follicular lymphoma grade IIIa
C824,Follicular lymphoma grade IIIb
C825,Diffuse follicle center lymphoma
C826,Cutaneous follicle center lymphoma
C828,Other types of follicular lymphoma
C829,"Follicular lymphoma, unspecified"
C83,Non-follicular lymphoma
C830,Small cell B-cell lymphoma
C831,Mantle cell lymphoma
C833,Diffuse large B-cell lymphoma
C835,Lymphoblastic (diffuse) lymphoma
C837,Burkitt lymphoma
C838,Other non-follicular lymphoma
C839,"Non-follicular (diffuse) lymphoma, unspecified"
C84,Mature T/NK-cell lymphomas
C840,Mycosis fungoides
C841,Sezary disease
C844,"Peripheral T-cell lymphoma, not classified"
C846,"Anaplastic large cell lymphoma, ALK-positive"
C847,"Anaplastic large cell lymphoma, ALK-negative"
C84A,"Cutaneous T-cell lymphoma, unspecified"
C84Z,Other mature T/NK-cell lymphomas
C849,"Mature T/NK-cell lymphomas, unspecified"
C85,Other specified and unspecified types of non-Hodgkin lymphoma
C851,Unspecified B-cell lymphoma
C852,Mediastinal (thymic) large B-cell lymphoma
